Post URL,Username,Post Text,Post Date,Post Time (HH:MM),Likes,Replies,Reposts,Shares,Verified User,Accessed Date,Accessed Time,Code,label
https://www.threads.net/@semi.tox/post/DC2x3hdN_uH,semi.tox,Everyone was just walking around yelling MUSTARD! today. It was crazy.,11/27/2024,1:12,21,0,0,0,TRUE,12/6/2024,23:43,DC2x3hdN_uH,0
https://www.threads.net/@allhallowswitchh/post/DCv8TSKx8Us,allhallowswitchh,"Dear threads fam,Thanks for accepting me, raging bitch and all. �¤£",11/24/2024,9:28,96,21,0,0,FALSE,12/7/2024,4:42,DCv8TSKx8Us,0
https://www.threads.net/@katykfla/post/DBXZJb6TyON,katykfla,Nicks brother Mark K M Sage,10/21/2024,0:08,0,0,0,0,FALSE,12/7/2024,4:06,DBXZJb6TyON,0
https://www.threads.net/@allhallowswitchh/post/DCve_CTRmd6,allhallowswitchh,"Dear algorithm, please connect me to all the people who like Brussels  sprouts. I need to know I�m not alone. �¤£",11/24/2024,5:12,6.6K,1.5K,50,8,FALSE,12/7/2024,4:30,DCve_CTRmd6,0
https://www.threads.net/@elierlick/post/C9urm2tugpX,elierlick,"In 1904, The Macon Telegraph estimated that 1 in every 2,000 men was assigned female at birth (transgender) - and that was before we had widespread gender-affirming medicine! We can only imagine how much higher the actual number was, considering these men almost always hid their assigned sex.",7/22/2024,15:06,47,1,12,3,TRUE,12/7/2024,5:51,C9urm2tugpX,0
https://www.threads.net/@ericspicer/post/DCElH4FPUwU,ericspicer,"Will the FED cut the rates? 
A: yes .25 basis it's.We'll see later today",11/7/2024,13:18,0,0,0,0,FALSE,12/7/2024,4:39,DCElH4FPUwU,0
https://www.threads.net/@semi.tox/post/DC3MqQ2x6qg,semi.tox,Can you be the greatest of all time and sue because you lost a rap battle?,11/27/2024,5:06,1,4,0,0,TRUE,12/7/2024,5:28,DC3MqQ2x6qg,0
https://www.threads.net/@barbaraj.sobel/post/DFEJOAKyZSO?fbclid=IwY2xjawIEn31leHRuA2FlbQIxMAABHc2EKLRgtmjB8QpIr923_e8YBKUvd9R8c_IpxQse1shlPvfea0m0e3xtfg_aem_IMp1oWd3fwKHVJvjtaUyaA,barbaraj.sobel,BREAKING - Vice President JD Vance's wife will have her citizenship revoked if Trump signs his executive order banning birthright citizenship. Neither of her parents were US citizens at the time of her birth.,1/20/2025,22:49,14.4K,851,990,370,TRUE,2/9/2025,18:54,DFEJOAKyZSO,1
https://www.threads.net/@aladdinumar/post/DCqBqSUJ0Ta,aladdinumar,North West & Dream Kardashian �¥°�¥°,11/22/2024,2:20,10.6K,47,56,25,TRUE,12/7/2024,0:19,DCqBqSUJ0Ta,0
https://www.threads.net/@imperiojp/post/DCUzrFDpvfk,imperiojp,hahahahahahahahaaaaaaaaaa Matt Gaetz as Attorney General!!!!!!!!!,11/13/2024,20:33,4,1,1,0,TRUE,12/7/2024,5:49,DCUzrFDpvfk,0
