Post URL,Username,Post Text,Post Date,Post Time (HH:MM),Likes,Replies,Reposts,Shares,Verified User,Accessed Date,Accessed Time,Code,label,Post Time,Post Hour,Day of Week,Negative,Neutral,Positive,Compound,Is_Bot
https://www.threads.net/@lizaboswell7187/post/DCXwTT0RLaY,lizaboswell7187,mrs tweedy head national poultry association,2024-11-15,2025-05-09 00:02:00,9.0,2.0,0.0,0.0,0.0,12/7/2024,7:01,DCXwTT0RLaY,0,00:02:00,0.0,Friday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@kaziskkm/post/C9c9QnOvLl6?xmt=AQGzSabMV6Sq3AwIYf12UxFxRltKqS7uZAI6EOP7banNuA,kaziskkm,quota dhabian innallahi inna ilaihi raziun,2024-07-15,2025-05-09 17:54:00,2.0,0.0,0.0,0.0,0.0,2/9/2025,22:02,C9c9QnOvLl6,1,17:54:00,0.0,Monday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@absobullmastiffs/post/DFG-IUnKbzZ,absobullmastiffs,breaking president trump signs executive order cutting federal funding all cityas thatapromote support otherwise encourage lgbtq activisma,2025-01-22,2025-05-09 01:10:00,1500.0,69.0,51.0,76.0,1.0,2/9/2025,18:52,DFG-IUnKbzZ,1,01:10:00,0.0,Wednesday,0.07,0.651,0.279,0.6705,False
https://www.threads.net/@walshmarcia380/post/DCr4M19SsTT,walshmarcia380,was bunny,2024-11-22,2025-05-09 19:35:00,1.0,1.0,0.0,0.0,0.0,12/6/2024,23:49,DCr4M19SsTT,0,19:35:00,0.0,Friday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@katykfla/post/DAZ6xJNsR_m,katykfla,went outside and got all solar lights itaaas like the target store grocery section house now the dogs love,2024-09-27,2025-05-09 03:09:00,0.0,0.0,0.0,0.0,0.0,12/7/2024,0:52,DAZ6xJNsR_m,0,03:09:00,0.0,Friday,0.0,0.717,0.283,0.7717,False
https://www.threads.net/@currentusupdates/post/DCnbsAaOCV6,gtconway3,bskyappprofiaa,2024-11-21,2025-05-09 00:35:00,22400.0,285.0,2900.0,419.0,1.0,12/7/2024,3:39,DCnbsAaOCV6,0,00:35:00,0.0,Thursday,0.0,1.0,0.0,0.0,False
,,,,,,,,,,,,,1,,,,,,,,
,,nows voted for the billnow which california democrats decriminalized lootings opposed lootingwell which governor voted for the bill now newsom ands opposed lootingwell which governors opposed the bill now which governors opposed and news post and new now,,,,,,,,,,,1,,,,,,,,
,,editor shaishavptll editor editor shaishavptll editor shaishavptll editor shaishavptll editor shaishavptll editor shaishavptll editor shaishavptll editor shaishavptll editor shaishavptll editor shaishavptll trendingvideoeditorseditorn editor editor rei,,,,,,,,,,,1,,,,,,,,
,,said today that the democrats get the house the first thing theyaare going now now she gets reelected think she should retire think she should retire when she retires think she should retire think she should retire think she should retire news post paraphrase impeach get the house,,,,,,,,,,,1,,,,,,,,
,,jhoda santa santa ganabhaban ganabhaban santa ganabhaban santa ganabhaban jhoda and jodhpur news,,,,,,,,,,,1,,,,,,,,
https://www.threads.net/@karilakestwat/post/DCQjERDMFrA,karilakestwat,fafo,2024-11-12,2025-05-09 04:51:00,1700.0,33.0,170.0,10.0,1.0,12/7/2024,3:14,DCQjERDMFrA,0,04:51:00,0.0,Tuesday,0.0,1.0,0.0,0.0,False
,,saturday new sunrise educationclass weekend weekend full holiday holiday weekend holiday weekend holiday weekend holiday weekend holiday weekend holiday weekend holiday weekend holiday weekend holiday holiday weekend holiday weekend holiday weekend holiday weekend weekend holiday weekend weekend holiday weekend holiday weekend weekend holiday weekend weekend weekend holiday weekend weekend weekend holiday weekend holiday weekend holiday weekend holiday weekend news news holiday holiday weekend new news news,,,,,,,,,,,1,,,,,,,,
https://www.threads.net/@musicforkids123/post/DC7PPMry7YI,musicforkids123,too late but had the election today trump would not have won,2024-11-28,2025-05-09 18:45:00,0.0,0.0,0.0,0.0,1.0,12/6/2024,23:55,DC7PPMry7YI,0,18:45:00,0.0,Thursday,0.267,0.733,0.0,-0.612,False
https://www.threads.net/@thompsonphil60/post/DCrBsWgtd5M,thompsonphil60,nan,2024-11-22,2025-05-09 11:39:00,0.0,0.0,0.0,0.0,1.0,12/7/2024,7:07,DCrBsWgtd5M,0,11:39:00,0.0,Friday,0.0,0.0,0.0,0.0,False
https://www.threads.net/@celebrityspectrum12/post/DC61bJuzb_t,celebrityspectrum12,jason kelce retirement from nfl drives travis kelce tears full details comment read here bufflymwqkaaa,2024-11-28,2025-05-09 15:00:00,0.0,0.0,0.0,0.0,0.0,12/7/2024,6:57,DC61bJuzb_t,0,15:00:00,0.0,Thursday,0.119,0.881,0.0,-0.2263,False
,,grameen bank will give loan the luck family because which the card was canceled grameen bank will give loan the luck family because which the card was canceled change news post the luck family grameen bank will give,,,,,,,,,,,1,,,,,,,,
https://www.threads.net/@picassokat/post/DBfeJ5iO15D,markjacobnews,trump said tonight aaastopped wars with franceaaa the media will feel compelled ask kamala harris how many wars with france she stopped and when sheaaall release her detailed plan for stopping future wars with france,2024-10-24,2025-05-09 02:53:00,1100.0,32.0,106.0,0.0,1.0,12/7/2024,6:37,DBfeJ5iO15D,0,02:53:00,0.0,Thursday,0.321,0.652,0.027,-0.9201,False
https://www.threads.net/@ji_predicciones/post/DCbpBRKuMxO,ji_predicciones,este inmigrante ilegal dice que estados unidos porque hijo naci nueva york estadounidense exige donald trump mil lares quiere que abandone slo onico que logr con sus videos que tengan mira para deportarlo,2024-11-16,2025-05-09 12:15:00,166.0,76.0,7.0,74.0,1.0,12/7/2024,0:56,DCbpBRKuMxO,0,12:15:00,0.0,Saturday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@jbssr56jbss/post/DCCyTkZxELr,jbssr56jbss,nancy pelosi stated today that the democrats get the house the first thing theyare going impeach donald trump before gets elected think she should retire,2024-11-06,2025-05-09 20:35:00,1700.0,215.0,29.0,11.0,0.0,12/7/2024,19:44,DCCyTkZxELr,1,20:35:00,0.0,Wednesday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@americoperez_rico/post/DCqZe--BPbv,americoperez_rico,with brother mazen aaaagrateful,2024-11-22,2025-05-09 05:48:00,0.0,0.0,0.0,0.0,0.0,12/7/2024,3:17,DCqZe--BPbv,0,05:48:00,0.0,Friday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@musicforkids123/post/DC7X-xSyy-D,the_christian_left,get ready for total chaos house gop wins historically puny majority newrepubliccompostaaa,2024-11-28,2025-05-09 19:01:00,75.0,3.0,14.0,1.0,1.0,12/7/2024,2:42,DC7X-xSyy-D,0,19:01:00,0.0,Thursday,0.196,0.476,0.328,0.3612,False
https://www.threads.net/@democratic_wins/post/DCXtDwPJXOX,democratic_wins,breaking stunning slew leaks reports are coming from senate republicans that matt gaetzaaas nomination appears doomed this huge,2024-11-14,2025-05-09 23:33:00,1200.0,41.0,49.0,8.0,1.0,12/6/2024,23:38,DCXtDwPJXOX,0,23:33:00,0.0,Thursday,0.172,0.614,0.214,0.0065,False
https://www.threads.net/@rokcymdrakibulislam/post/DDRR9RsyIoU,rakibul_islam_rokcy,breaking news new sunrise educationclass saturday friday full holiday breakthrough change the countrys education systemall educational institutions will open from saturday and weekends will fridaythe new initiative will bring the students new chapter time management saying the concerned palace,2024-12-07,2025-05-09 08:12:00,2.0,0.0,0.0,0.0,0.0,2/9/2025,21:53,DDRR9RsyIoU,1,08:12:00,0.0,Saturday,0.0,0.934,0.066,0.4019,False
https://www.threads.net/@markbeasley063/post/DCrj4RxT113,markbeasley063,sometimes what youre looking for comes when you stop looking,2024-11-22,2025-05-09 16:38:00,0.0,0.0,0.0,0.0,1.0,12/7/2024,7:18,DCrj4RxT113,0,16:38:00,0.0,Friday,0.196,0.804,0.0,-0.296,False
https://www.threads.net/@blackwhiteman21/post/DCvr3DdxNLD,blackwhiteman21,hes giddy,2024-11-24,2025-05-09 07:05:00,126.0,16.0,19.0,1.0,0.0,12/7/2024,1:00,DCvr3DdxNLD,0,07:05:00,0.0,Sunday,0.615,0.385,0.0,-0.1531,False
https://www.threads.net/@briancharlesrooney/post/DCKEVv9v-ex,coopweb,atlanta the letter sent nearly two dozen computer scientists election security experts and voter advocacy organizations asks for federal probe and risk assessment voting machines used throughout the country saying the software breaches have urgent implications for the election and beyond the breaches affected voting equipment made two companies that together count over percent the votes cast across the country according the letter pbs,2024-11-08,2025-05-09 15:00:00,1300.0,77.0,318.0,160.0,0.0,12/7/2024,5:20,DCKEVv9v-ex,0,15:00:00,0.0,Friday,0.054,0.884,0.062,0.128,False
https://www.threads.net/@wmrdc/post/DCcp-faphlQ,wmrdc,every murder including mass casualty events must preliminary investigated from here out being caused trumpaaas call for actual purge day his cult members will absolutely act his dangerous rhetoric theyaaave already done,2024-11-16,2025-05-09 21:43:00,4.0,1.0,0.0,0.0,1.0,12/7/2024,7:10,DCcp-faphlQ,0,21:43:00,0.0,Saturday,0.283,0.717,0.0,-0.9093,False
,,stopped posting twitter klout stopped posting twitter cbs stopped posting twitter and did stopped posting twitter stopped posting twitter not stop posting twitter not stop posting twitter not post twitter news post and twitter stopped posting twitter microsoft stopped posting twitter changed tweet visa stopped posting twitter google stopped posting twitter google stopped posting twitter facebook stopped posting twitter twitter google posting twitter posted twitter posting not not stopped,,,,,,,,,,,1,,,,,,,,
https://www.threads.net/@shakib.a.hasan.17/post/DDW1Uh0vcr9,shakib.a.hasan.17,careful arsenic mixing indian sugar dhaka science lab confirmed this information,2024-12-09,2025-05-09 11:58:00,0.0,0.0,0.0,0.0,0.0,2/9/2025,21:53,DDW1Uh0vcr9,1,11:58:00,0.0,Monday,0.0,0.862,0.138,0.1531,False
https://www.threads.net/@currentusupdates/post/DCnPT-ZuBSQ,barackobama,few weeks ago met with girl scouts their trip montereybayaquarium talked about the magical world just beneath the surface our oceans and how our fates are inextricably linked hope youaaall check out our oceans from higher ground which streaming now netflix,2024-11-20,2025-05-09 20:03:00,23200.0,382.0,1000.0,982.0,1.0,12/7/2024,1:21,DCnPT-ZuBSQ,0,20:03:00,0.0,Wednesday,0.0,0.932,0.068,0.4404,False
https://www.threads.net/@karilakestwat/post/DCe5B5zyaYi,karilakestwat,ann selzer knows what the fuck the fix was whatever legally our power and expose this absolute fucking bullshit are you with she fucking retired over this respect,2024-11-17,2025-05-09 18:33:00,841.0,89.0,204.0,22.0,1.0,12/6/2024,23:57,DCe5B5zyaYi,0,18:33:00,0.0,Sunday,0.247,0.618,0.135,-0.6331,False
https://www.threads.net/@tvsam1/post/DB1zIR1yrsC,tvsam1,donald trump now literally threatening have killed you dont want live bananna republic run senile man with some sort daffy duck disease vote for kamala lizcheney,2024-11-01,2025-05-09 19:32:00,4600.0,100.0,591.0,98.0,1.0,12/6/2024,22:58,DB1zIR1yrsC,1,19:32:00,0.0,Friday,0.284,0.716,0.0,-0.8451,False
,,harris california that needs addresseda here not sure wrong news post and news post news post paraphrase news post news post note newa here there something here wrong news with the new president,,,,,,,,,,,1,,,,,,,,
,,amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin amin,,,,,,,,,,,1,,,,,,,,
https://www.threads.net/@tvsam1/post/DCWutE5xXQ-,tvsam1,djt aaahereaaas the plan pick you for and make your pedo investigation awayaaaaaa gaetz and make your federal investigations awayaaa djt aaaart the dealaaa,2024-11-14,2025-05-09 14:28:00,67.0,15.0,1.0,0.0,0.0,12/7/2024,4:22,DCWutE5xXQ-,0,14:28:00,0.0,Thursday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@mrmccrary59/post/DCfulwVPiWi,mrmccrary59,roughly lgbtq activists were arrested the capitol for storming into womenaaas bathroom,2024-11-18,2025-05-09 02:21:00,77.0,3.0,0.0,0.0,0.0,12/7/2024,7:09,DCfulwVPiWi,0,02:21:00,0.0,Monday,0.22,0.78,0.0,-0.4767,False
https://www.threads.net/@kol_ofdestanee/post/DC2Bs5hRwY6,fireforce.official,not like,2024-11-26,2025-05-09 12:22:00,8900.0,165.0,782.0,185.0,1.0,12/7/2024,5:01,DC2Bs5hRwY6,0,12:22:00,0.0,Tuesday,0.678,0.322,0.0,-0.2755,False
https://www.threads.net/@profrankmueller/post/DCT_S_Nt87w,profrankmueller,nissan just announced layoffs tennessee avoid severe losses due expected tariffs experts expect more,2024-11-13,2025-05-09 12:56:00,958.0,257.0,114.0,44.0,1.0,12/7/2024,0:44,DCT_S_Nt87w,1,12:56:00,0.0,Wednesday,0.405,0.595,0.0,-0.7579,False
https://www.threads.net/@yuva_vichar/post/C5-Hna5s5j8,sarva_sanatan_satya,aaaaaadurga mata maa matarani jaimatadi ram ramji jaishreeram hanuman bajrangbali shiv shivji parvati ganesha vishnu narayan laxminarayan radhe radha radheradhe radhekrishna krishna bholebaba bholenath laxmi saraswati saraswatipuja vasantpanchami diwali deepawali,2024-12-06,2025-05-09 05:26:00,97.0,3.0,1.0,0.0,1.0,12/7/2024,0:05,C5-Hna5s5j8,1,05:26:00,0.0,Friday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@itsweeziehere/post/DC5YkK4v26q,itsweeziehere,when youaaare low life you want low life president,2024-11-28,2025-05-09 01:28:00,18.0,2.0,2.0,3.0,0.0,12/7/2024,4:09,DC5YkK4v26q,0,01:28:00,0.0,Thursday,0.365,0.522,0.113,-0.4404,False
https://www.threads.net/@morganfaithofficial/post/DCnlXXMtaWS,morganfaithofficial,threads now has filter for political content wow,2024-11-21,2025-05-09 03:34:00,12.0,5.0,0.0,0.0,1.0,12/7/2024,0:48,DCnlXXMtaWS,0,03:34:00,0.0,Thursday,0.0,0.648,0.352,0.5859,False
,,very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly very deadly and changes changes,,,,,,,,,,,1,,,,,,,,
https://www.threads.net/@lancevaldez777/post/DCdKri_Ouvq,anneshachatterje,nan,2024-12-06,2025-05-09 03:45:00,1.0,0.0,0.0,0.0,1.0,12/7/2024,6:22,DCdKri_Ouvq,0,03:45:00,0.0,Friday,0.0,0.0,0.0,0.0,False
https://www.threads.net/@notbob74/post/DC4kMVJPyJ_,notbob74,instagramcompdcaa,2024-11-27,2025-05-09 17:51:00,0.0,0.0,0.0,0.0,0.0,12/7/2024,4:21,DC4kMVJPyJ_,0,17:51:00,0.0,Wednesday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@ill_will69/post/DCuas_OS2lE,ill_will69,stood the public restroom walmart and ask everyone they had penis vagina before entering the bathroom went really well,2024-11-23,2025-05-09 19:15:00,1.0,0.0,0.0,0.0,0.0,12/7/2024,6:18,DCuas_OS2lE,0,19:15:00,0.0,Saturday,0.0,0.883,0.117,0.3384,False
,,the mosque committee has donated alhamdulillah mosque committee mosque committee the mosque committee has donated alhamdulillah alhamdulillah the mosque committee has donated alhamdulillahhh,,,,,,,,,,,1,,,,,,,,
https://www.threads.net/@jbssr56jbss/post/DCE33VQOB7A,jbssr56jbss,facebookcomshareaaa,2024-11-07,2025-05-09 16:02:00,1.0,0.0,0.0,0.0,1.0,12/7/2024,2:34,DCE33VQOB7A,0,16:02:00,0.0,Thursday,0.0,1.0,0.0,0.0,False
https://www.threads.net/@tim4chris/post/DCttAVOu1mZ,tim4chris,only fool would believe trump,2024-11-23,2025-05-09 12:36:00,2.0,1.0,2.0,0.0,1.0,12/7/2024,6:13,DCttAVOu1mZ,0,12:36:00,0.0,Saturday,0.42,0.58,0.0,-0.4404,False
,,july memorial museum ganabhaban july memorial museum ganabhaban ganabhaban paraphrased news post july memorial museum and phrasing changes janabhaban july memorial,,,,,,,,,,,1,,,,,,,,
https://www.threads.net/@tracybordewyk/post/C6XGEpPg_hB,sarcastic_us,craze test cricket englando sarcasm india england cricket respect birmingham,2024-12-11,2025-05-09 06:46:00,60.0,1.0,2.0,0.0,1.0,12/11/2024,17:24,C6XGEpPg_hB,1,06:46:00,0.0,Wednesday,0.257,0.515,0.228,0.1531,False
